GameId,NumberOfGame,OverAllTime
1,38,266.7143700122833
2,52,394.88954997062683
3,24,149.14107704162598
4,76,507.2808358669281
5,59,380.2657780647278
6,81,389.7800579071045
7,39,240.0909140110016
8,69,505.7755699157715
9,108,515.911906003952
10,41,170.35467314720154
11,65,353.19710183143616
12,21,107.98943996429443
13,64,362.86407995224
14,53,507.6718981266022
15,169,337.7733871936798
16,2,6.819753885269165
17,128,505.00449109077454
18,72,362.3515000343323
19,67,579.7239699363708
20,34,211.38856387138367
21,96,456.74660420417786
22,57,359.4970908164978
23,9,56.31044006347656
24,96,531.0969378948212
25,44,200.37652897834778
26,25,122.58555293083191
27,72,769.7326331138611
28,100,554.2495348453522
29,96,359.2454831600189
30,48,345.8300988674164
31,46,314.26481008529663
32,70,556.1852779388428
33,57,396.57061409950256
34,53,300.5643239021301
35,4,14.373324155807495
36,64,378.3131330013275
37,49,278.9928820133209
38,128,470.69590878486633
39,71,311.8977780342102
40,98,559.3939950466156
41,117,535.8763110637665
42,77,545.5618741512299
43,48,235.85685896873474
44,33,173.72717809677124
45,49,276.9534559249878
46,97,315.7463901042938
47,90,634.7561469078064
48,75,460.53177309036255
49,34,161.3653540611267
50,43,208.01870608329773
51,34,222.4085168838501
52,38,214.43550395965576
53,76,346.9187500476837
54,47,172.53979802131653
55,44,209.7501118183136
56,64,550.5605621337891
57,49,310.2908790111542
58,68,390.17839193344116
59,70,368.1775770187378
60,112,569.6356039047241
61,67,317.1615161895752
62,89,386.9794411659241
63,33,252.10335302352905
64,62,347.0335040092468
65,95,585.2806711196899
66,35,217.71110606193542
67,91,434.423712015152
68,58,372.148717880249
69,65,336.9535448551178
70,18,92.42914485931396
71,65,275.3590998649597
72,65,280.71215891838074
73,29,118.77531218528748
74,75,366.82004404067993
75,80,544.3267929553986
76,77,549.2461850643158
77,60,379.13186287879944
78,48,292.9805431365967
79,27,186.72746777534485
80,121,694.5791459083557
81,56,357.8916139602661
82,46,319.14250588417053
83,146,614.0225231647491
84,33,207.88913106918335
85,48,353.734445810318
86,84,479.46701192855835
87,59,294.21162390708923
88,85,484.71376180648804
89,110,588.5885667800903
90,96,654.5232479572296
91,80,606.0992469787598
92,53,377.13991117477417
93,24,119.01634097099304
94,29,132.49740481376648
95,72,436.09429597854614
96,72,431.4256000518799
97,22,137.3094928264618
98,31,147.29896998405457
99,15,77.06780982017517
100,25,154.05553483963013
101,122,485.94459295272827
102,39,241.10980582237244
103,66,301.2725989818573
104,92,497.01157093048096
105,65,322.4789659976959
106,81,507.81908893585205
107,109,359.2762529850006
108,51,288.5000398159027
109,63,654.5681660175323
110,57,365.4184069633484
111,73,483.34402084350586
112,61,339.69509387016296
113,31,162.2674810886383
114,108,705.9203979969025
115,66,511.65923404693604
116,31,249.63195490837097
117,57,295.3591330051422
118,66,299.6856060028076
119,63,421.4400010108948
120,31,152.4676811695099
121,51,282.5758090019226
122,24,104.5326509475708
123,88,483.95590591430664
124,52,311.5719428062439
125,52,381.1986401081085
126,57,336.5593249797821
127,11,58.8007550239563
128,56,287.53060507774353
129,15,70.17926716804504
130,62,212.56992602348328
131,111,460.4453010559082
132,44,188.42625498771667
133,46,249.96173119544983
134,63,255.58408308029175
135,111,578.4767489433289
136,29,210.1244568824768
137,40,211.23483681678772
138,42,262.6947319507599
139,66,332.2492709159851
140,74,417.68351697921753
141,51,245.3724980354309
142,68,378.9700970649719
143,126,484.77511501312256
144,57,309.94287180900574
145,26,172.10880303382874
146,18,86.13436102867126
147,89,476.3540790081024
148,108,521.257878780365
149,81,740.7119669914246
150,42,251.78265500068665
151,110,581.2096989154816
152,148,488.7879331111908
153,39,183.56524395942688
154,36,231.24659490585327
155,85,434.9636240005493
156,48,246.4450719356537
157,104,674.0627279281616
158,84,690.9762001037598
159,75,686.144082069397
160,73,648.6930768489838
161,61,400.6736240386963
162,108,443.33862805366516
163,65,415.53528785705566
164,35,199.0246238708496
165,98,413.12736105918884
166,33,188.75792288780212
167,99,432.4937710762024
168,19,120.81876277923584
169,69,324.34503698349
170,59,356.6176300048828
171,60,328.88743114471436
172,40,282.43804597854614
173,63,340.60840106010437
174,81,286.12752389907837
175,121,410.02927803993225
176,80,450.65358805656433
177,59,374.57246804237366
178,68,478.55706095695496
179,83,339.4465470314026
180,46,301.38533306121826
181,85,327.77566385269165
182,38,258.9839789867401
183,74,531.0510890483856
184,61,330.80207109451294
185,87,506.1328001022339
186,56,347.79295897483826
187,29,194.26106595993042
188,71,360.32686591148376
189,116,486.0372009277344
190,65,911.7999401092529
191,62,310.8839910030365
192,34,153.11220812797546
193,45,213.51754689216614
194,62,340.55954599380493
195,68,419.4450559616089
196,91,488.10925698280334
197,17,115.45032095909119
198,88,517.852970123291
199,35,168.278892993927
200,45,276.9530100822449
201,71,314.46689891815186
202,63,466.2432999610901
203,88,482.4588851928711
204,105,568.4031980037689
205,94,710.0025382041931
206,60,400.6483099460602
207,75,378.3566768169403
208,23,109.80344295501709
209,49,353.95293378829956
210,83,439.2404680252075
211,70,349.51856899261475
212,112,496.035071849823
213,47,297.6861569881439
214,15,90.12731885910034
215,61,276.33066296577454
216,33,245.55987405776978
217,55,259.2699739933014
218,42,245.7355659008026
219,99,418.7395029067993
220,45,274.24252486228943
221,55,256.49177408218384
222,102,552.5224039554596
223,66,410.0266160964966
224,86,436.1051881313324
225,61,361.92601799964905
226,4,24.83579397201538
227,32,166.60015296936035
228,22,144.74755883216858
229,90,461.9432010650635
230,44,250.32375192642212
231,24,148.70224714279175
232,37,315.4334819316864
233,54,407.9456729888916
234,39,252.56755304336548
235,43,271.0441620349884
236,57,329.7117168903351
237,68,237.4247498512268
238,84,594.2090728282928
239,133,383.14373087882996
240,48,265.44504714012146
241,79,336.6039009094238
242,48,269.3388760089874
243,63,281.900484085083
244,4,18.207220792770386
245,69,335.299791097641
246,55,396.45475006103516
247,62,398.8037619590759
248,41,222.33330607414246
249,99,602.9009828567505
250,97,420.11929988861084
251,105,391.70606112480164
252,32,140.22471499443054
253,69,405.8187828063965
254,26,143.82961988449097
255,131,478.4068441390991
256,61,329.1928129196167
257,66,345.7559881210327
258,72,501.2099449634552
259,29,184.2106101512909
260,57,318.2610242366791
261,92,344.5509498119354
262,30,176.51544904708862
263,59,363.58425188064575
264,106,590.6014561653137
265,69,592.5036749839783
266,36,305.21305799484253
267,63,607.6001479625702
268,86,488.14782881736755
269,71,443.6998119354248
270,54,280.3597300052643
271,118,489.4868838787079
272,68,341.8759620189667
273,69,352.4055688381195
274,62,339.9704079627991
275,64,438.50630497932434
276,28,156.62667298316956
277,51,349.45434379577637
278,69,433.5947470664978
279,7,37.008909940719604
280,103,283.4404990673065
281,92,711.1322288513184
282,24,153.10960817337036
283,70,409.38068103790283
284,112,512.1496319770813
285,47,235.76381707191467
286,61,333.69342494010925
287,72,437.00406312942505
288,50,400.42965602874756
289,39,185.6439688205719
290,125,405.673602104187
291,72,408.50632905960083
292,80,403.64570784568787
293,65,354.2976539134979
294,88,490.71021699905396
295,56,631.1278219223022
296,48,339.2028069496155
297,100,448.6146459579468
298,9,45.51505899429321
299,60,342.09461879730225
300,53,235.98048901557922
301,68,401.0840368270874
302,43,246.81417107582092
303,65,340.541610956192
304,33,182.6426830291748
305,83,320.8422820568085
306,100,521.5193109512329
307,86,276.0577609539032
308,46,281.36314702033997
309,60,303.98943305015564
310,66,299.0275149345398
311,105,413.2130711078644
312,83,338.48317694664
313,78,402.2454161643982
314,90,621.1005480289459
315,96,616.0009779930115
316,54,361.36196303367615
317,130,908.5036270618439
318,76,665.1641819477081
319,47,422.02975702285767
320,56,565.5356829166412
321,61,643.9636199474335
322,70,903.5105369091034
323,136,766.7307980060577
324,44,665.3260288238525
325,62,1251.1250820159912
326,125,765.4553890228271
327,79,591.9144790172577
328,36,348.8725919723511
329,96,1057.0652589797974
330,52,565.9749441146851
331,93,1076.0276260375977
332,55,496.6383330821991
333,79,755.8286550045013
334,19,177.04026007652283
335,69,667.8178999423981
336,71,1024.6471498012543
337,20,221.58756613731384
338,43,523.4693329334259
339,30,398.21607995033264
340,18,193.70252799987793
341,46,434.37354612350464
342,42,487.5469927787781
