GameId,NumberOfGame,OverAllTime
1,43,554.0150401592255
2,50,796.8544018268585
3,71,624.7932019233704
4,131,958.1589050292969
5,56,601.688502073288
6,63,801.2662010192871
7,35,292.898540019989
8,88,702.2179789543152
9,36,493.40780901908875
10,53,626.0875329971313
11,54,410.65079498291016
12,2,13.262990951538086
13,30,309.2836129665375
14,33,477.81230306625366
15,106,1031.8569791316986
16,23,255.74708485603333
17,38,468.1084361076355
18,67,669.4871170520782
19,107,763.6967830657959
20,62,700.8191709518433
21,98,771.8693809509277
22,42,515.429661989212
23,61,795.9124119281769
24,40,417.571839094162
25,64,630.2882540225983
26,83,1020.5803020000458
27,52,456.3122248649597
28,33,292.6887412071228
29,79,809.625746011734
30,28,241.88992714881897
31,70,604.026437997818
32,67,806.1952559947968
33,52,431.1995530128479
34,14,121.0772819519043
35,71,708.3787159919739
36,115,1038.249293088913
37,53,580.5282452106476
38,46,355.27806997299194
39,32,297.1234710216522
40,77,762.7206921577454
41,66,818.8642749786377
42,98,669.9839820861816
43,84,926.0184969902039
44,11,86.70762395858765
45,64,470.18233489990234
46,29,254.16253805160522
47,14,121.84058809280396
48,71,563.85076212883
49,140,719.3813722133636
50,100,889.7597899436951
51,94,573.5085790157318
52,74,715.8934350013733
53,68,840.0966310501099
54,70,662.9453511238098
55,50,607.79514503479
56,114,996.7133429050446
57,69,580.9257969856262
58,62,672.1070160865784
59,131,1180.224594116211
60,53,507.2475299835205
61,38,478.67474699020386
62,57,537.9196448326111
63,47,525.3659799098969
64,70,638.4025468826294
65,63,860.2390999794006
66,120,909.7729358673096
67,66,599.1823699474335
68,64,759.867917060852
69,50,430.9936089515686
70,73,560.1868381500244
71,90,880.4143350124359
72,80,985.5918209552765
73,61,390.06655406951904
74,127,706.7107081413269
75,82,902.8638570308685
76,86,874.3325772285461
77,95,1347.4145338535309
78,65,802.646763086319
79,102,506.73298382759094
80,94,1237.4985580444336
81,47,469.806293964386
82,19,168.48837018013
83,96,608.4781229496002
84,47,486.7871217727661
85,63,529.9821221828461
86,100,652.8813951015472
87,44,503.5121719837189
88,66,666.6045010089874
89,51,498.12918305397034
90,30,322.2530710697174
91,60,593.0061419010162
92,35,352.0339140892029
93,44,610.4682509899139
94,41,467.0614449977875
95,109,1049.4342761039734
96,25,265.41740107536316
97,66,636.9117519855499
98,70,676.0604360103607
99,75,821.7426888942719
100,54,329.5817198753357
101,78,692.5130801200867
102,55,603.3347480297089
103,60,778.3954799175262
104,67,599.6136128902435
105,89,799.428827047348
106,95,965.9931819438934
107,56,718.0541989803314
108,13,131.10808110237122
109,67,723.2879450321198
110,68,934.6286070346832
111,114,901.309592962265
112,42,499.84310388565063
113,65,566.0778338909149
114,22,207.79223108291626
115,51,647.5463228225708
116,70,845.7855379581451
117,79,984.2120490074158
118,96,639.2631480693817
119,2,9.459969997406006
