GameId,NumberOfGame,OverAllTime
1,87,723.0848588943481
2,56,481.50359296798706
3,5,37.588156938552856
4,25,206.47339797019958
5,51,825.2755169868469
6,77,790.7378771305084
7,46,457.585098028183
8,46,563.1931240558624
9,53,437.9695680141449
10,58,443.82179594039917
11,13,97.94862699508667
12,56,618.1805181503296
13,7,47.02793097496033
14,70,634.5204529762268
15,46,352.1155152320862
16,100,806.7776091098785
17,74,773.2427999973297
18,28,311.5877878665924
19,19,194.3116819858551
20,64,559.0789909362793
21,110,1000.6852238178253
22,56,609.3793110847473
23,83,1025.2247779369354
24,50,765.992311000824
25,116,1562.8376150131226
26,100,958.2292659282684
27,50,488.6891460418701
28,66,565.6076188087463
29,22,259.13157510757446
30,79,854.2430670261383
31,28,317.5224130153656
32,97,565.2454478740692
33,56,661.0155551433563
34,23,209.18161702156067
35,29,203.73587894439697
36,69,648.3573579788208
37,232,1111.1225719451904
38,138,976.9179019927979
39,25,294.03228998184204
40,110,1120.9679958820343
41,58,733.5441100597382
42,37,405.72195291519165
43,134,937.1004559993744
44,81,877.6082689762115
45,32,352.031378030777
46,26,183.97324395179749
47,46,416.9629330635071
48,36,323.1702239513397
49,44,472.5723669528961
50,15,181.26337003707886
51,109,1049.0657229423523
52,76,575.7082858085632
53,111,502.64578914642334
54,81,643.0220210552216
55,86,842.6940758228302
56,92,908.3178160190582
57,65,1154.8041880130768
58,27,210.8058638572693
59,84,689.3607249259949
60,16,154.82513904571533
61,32,383.7272229194641
62,29,319.5541000366211
63,43,411.901309967041
64,33,285.09286284446716
65,39,396.2349548339844
66,51,516.1083669662476
67,56,617.7345759868622
68,39,545.6040208339691
69,33,469.1822462081909
70,80,586.3292808532715
71,54,590.0064101219177
72,35,390.89462399482727
73,45,512.4758319854736
74,27,271.53402304649353
75,101,669.1513998508453
76,24,205.68473601341248
77,42,493.1117639541626
78,76,762.1499087810516
79,71,513.9215269088745
80,25,245.06477212905884
81,64,760.7777099609375
82,127,1340.584233045578
83,67,580.7356398105621
84,54,714.3343529701233
85,83,861.5414881706238
86,59,659.8276839256287
87,43,410.76737904548645
88,132,894.3313450813293
89,79,524.3169088363647
90,80,658.8360979557037
91,47,503.64427280426025
92,35,367.61882400512695
93,50,418.8424689769745
94,21,194.07505702972412
95,69,1174.3270621299744
96,59,612.9271948337555
97,77,1146.7999968528748
98,38,570.1831908226013
99,59,667.3811039924622
100,46,486.4432909488678
101,66,1115.1050999164581
102,75,782.7203450202942
103,83,898.4170699119568
104,46,594.1996259689331
105,42,335.67550897598267
106,6,37.19523501396179
107,5,28.47333288192749
108,68,565.2716960906982
109,47,416.47386479377747
110,10,98.97468495368958
111,32,323.9262320995331
112,65,760.2952170372009
113,76,716.7789351940155
114,34,361.1819660663605
115,66,732.699490070343
116,32,384.88114500045776
117,54,618.696958065033
118,46,374.3530321121216
119,32,341.2826991081238
120,50,542.3918790817261
121,68,726.1337521076202
122,50,483.2708468437195
123,78,1261.0871951580048
124,46,751.8805727958679
125,17,199.60531210899353
126,31,326.88711190223694
127,88,809.9987480640411
128,80,563.0117099285126
129,55,707.9056930541992
130,38,351.6618928909302
131,127,828.454794883728
132,43,454.97114610671997
133,73,938.2258470058441
134,17,127.44878911972046
135,47,452.94403195381165
136,47,492.4899170398712
137,28,287.06425380706787
138,56,519.747889995575
139,55,458.69025897979736
140,58,464.27497601509094
141,41,309.39530396461487
142,43,407.8089551925659
143,37,408.5931701660156
144,135,1602.7684319019318
145,89,888.7728018760681
146,43,429.4063971042633
147,44,451.9998598098755
148,99,827.2636909484863
149,86,1172.9876849651337
150,137,992.7847249507904
151,82,786.9349989891052
152,15,212.11158990859985
153,36,291.29678988456726
154,73,664.4792201519012
155,38,310.5266330242157
156,46,435.89848613739014
157,44,391.2736659049988
158,71,995.767037153244
159,40,489.5623679161072
160,22,222.8273069858551
161,60,713.258651971817
162,58,499.11787605285645
163,83,583.5778188705444
164,17,217.35012102127075
165,21,181.89246201515198
166,31,342.12852692604065
167,14,145.78496384620667
168,56,432.60316705703735
169,180,1245.941890001297
170,16,193.53229784965515
171,14,166.1241819858551
172,72,1229.642441034317
173,58,620.7888648509979
174,10,101.64308595657349
175,75,617.7882740497589
176,35,489.42112398147583
177,90,1063.9903790950775
178,108,906.785835981369
179,48,396.4632019996643
180,98,569.9461798667908
181,20,217.81015801429749
182,44,519.7650580406189
183,21,201.75721883773804
184,70,652.2102551460266
185,43,587.3510389328003
186,50,570.9525170326233
187,87,997.979131937027
188,66,761.7359359264374
189,30,307.20455408096313
190,24,278.32406401634216
191,62,632.6204040050507
192,102,997.5565729141235
193,24,294.3106219768524
194,40,408.0659348964691
195,59,611.1442310810089
196,41,518.0498728752136
197,69,743.7904241085052
198,51,562.782800912857
199,39,388.36039900779724
200,56,507.17387795448303
201,4,24.834869861602783
202,67,614.3266100883484
203,41,387.75881695747375
204,97,684.172639131546
205,53,495.54375290870667
206,39,404.4396741390228
207,10,137.31285214424133
208,74,1065.9917650222778
209,22,286.49429416656494
210,120,1157.7175838947296
211,137,883.6594469547272
212,48,649.7459678649902
213,12,143.75498509407043
214,7,46.47877883911133
215,4,16.358050107955933
216,25,280.2127060890198
217,73,825.253839969635
218,96,669.4056899547577
219,9,91.15901017189026
220,77,734.1669390201569
221,46,566.665374994278
222,116,1132.013962984085
223,73,1079.584144115448
224,24,262.9221158027649
225,47,418.732537984848
226,59,557.9405519962311
227,71,776.9245209693909
228,65,612.8913221359253
229,78,1144.492282152176
230,9,67.7392349243164
231,88,894.8343288898468
232,83,815.4731431007385
233,53,521.7932741641998
234,82,792.6296288967133
235,56,756.0694859027863
236,44,464.0910110473633
237,72,559.3422629833221
238,48,330.89149498939514
239,54,511.48026609420776
240,74,816.3333010673523
241,29,262.68814992904663
242,87,877.8136060237885
243,82,852.5285658836365
244,28,286.1806330680847
245,219,1397.686320066452
246,29,310.03657388687134
247,54,655.3291459083557
248,70,764.6281719207764
249,44,465.73512411117554
250,9,66.9522352218628
251,66,485.2614109516144
252,72,748.6958208084106
253,40,351.5533561706543
254,59,451.22675609588623
255,73,1015.8552520275116
256,22,267.0409731864929
257,50,374.6446740627289
258,3,17.46284317970276
259,66,708.4538209438324
260,37,331.57001185417175
261,45,380.8885929584503
262,45,487.3142521381378
263,141,998.7817568778992
264,49,417.6053318977356
265,104,896.1729960441589
266,103,963.8029589653015
267,61,579.3099720478058
268,59,807.3281240463257
269,64,619.9655439853668
270,125,1063.0573608875275
271,64,899.2643930912018
272,41,387.4158880710602
273,57,648.4840381145477
274,72,656.4174599647522
275,62,532.1956148147583
276,49,503.1909739971161
277,34,370.50602984428406
278,35,437.3392119407654
279,40,373.26974391937256
280,84,1194.455905199051
281,65,599.3038060665131
282,144,745.2052500247955
283,26,303.53078413009644
284,57,537.0023221969604
285,116,1666.670236825943
286,18,173.81449389457703
287,12,132.30084991455078
288,65,754.5830137729645
289,34,372.1871500015259
290,12,94.96186113357544
291,50,605.2449088096619
292,59,622.5127320289612
293,69,665.9526460170746
294,32,334.3986029624939
295,71,702.792237997055
296,63,421.7823579311371
297,55,821.5860030651093
298,94,782.2215218544006
299,8,89.92783617973328
300,56,635.3994948863983
301,30,364.9068269729614
302,41,417.82305002212524
303,28,278.8486580848694
304,40,456.31291580200195
305,37,388.01395201683044
306,57,689.708899974823
307,165,872.5736770629883
308,69,697.7094249725342
309,49,631.8239109516144
310,67,1114.2468769550323
311,42,468.2256259918213
312,11,111.83452200889587
313,69,668.8970170021057
314,27,199.01731491088867
315,36,366.46232509613037
316,19,218.95613503456116
317,102,715.2006959915161
318,3,15.716929912567139
319,40,412.55118012428284
320,80,828.0277588367462
321,67,1015.0733671188354
322,85,776.1824660301208
323,47,447.40592885017395
324,45,592.8693070411682
325,137,1073.0602509975433
326,44,441.27640199661255
327,131,893.4839150905609
328,49,514.0074071884155
329,73,696.3612959384918
330,46,681.2071220874786
331,58,692.4283480644226
332,59,710.1243629455566
333,41,344.8604040145874
334,57,533.103588104248
335,35,441.1758999824524
336,59,522.5671060085297
337,108,624.1500170230865
338,45,559.3284649848938
339,31,293.3351550102234
340,31,314.9381320476532
341,54,459.72651195526123
342,92,791.9160869121552
343,56,537.6350648403168
344,91,1005.2985289096832
345,122,554.9009029865265
346,13,116.9135468006134
347,51,527.17795586586
348,61,529.8268530368805
349,36,475.94637799263
350,56,565.7336010932922
351,74,778.7400720119476
352,2,12.539933204650879
353,41,572.8283789157867
354,49,508.11091685295105
355,65,855.2259740829468
356,93,918.4662318229675
357,82,594.072163105011
358,52,565.9210131168365
359,56,419.1431579589844
360,62,607.0986230373383
361,131,763.5591020584106
362,117,721.2529020309448
363,68,804.5210700035095
364,98,1611.6876499652863
365,132,726.0299341678619
366,35,331.79208397865295
367,69,590.1780610084534
368,61,612.5404760837555
369,25,463.4120638370514
370,103,1230.9644269943237
371,54,523.7510900497437
372,48,421.06945395469666
373,10,83.27452087402344
374,50,740.6651520729065
375,78,726.1491169929504
376,66,646.5639429092407
377,37,347.6141769886017
378,18,145.2513449192047
379,41,380.5932340621948
380,57,718.4873919487
381,61,528.7225170135498
382,90,797.8911778926849
383,65,775.4181079864502
384,71,734.5776801109314
385,17,148.13148188591003
386,41,324.60598492622375
387,15,146.5041160583496
388,21,246.65917801856995
389,52,622.5538561344147
390,57,590.2993321418762
391,34,330.9228501319885
392,85,813.7798240184784
393,34,490.6285891532898
394,26,263.1800580024719
395,111,1408.722815990448
396,99,912.8066940307617
397,88,965.6379189491272
398,150,697.2370297908783
399,77,545.4589810371399
400,38,409.5355019569397
401,24,274.28144907951355
402,32,297.98639583587646
403,45,422.65509700775146
404,79,785.4297311306
405,54,770.0133209228516
406,45,583.6824040412903
407,116,802.2991759777069
408,120,1005.223226070404
409,43,758.970930814743
410,92,908.9334850311279
411,29,261.9824059009552
412,119,779.6483490467072
413,51,487.43606781959534
414,55,489.06177401542664
415,43,346.2307200431824
416,107,906.447329044342
417,76,904.9344689846039
418,124,970.0336439609528
419,79,954.5021438598633
420,80,1274.7350599765778
421,104,843.5368819236755
422,65,836.4665830135345
423,43,415.04851508140564
424,92,671.2693381309509
425,87,741.0039541721344
426,72,1091.6194438934326
427,120,1235.1673200130463
428,130,910.6968259811401
429,55,455.97335505485535
430,60,624.3800709247589
431,49,470.7132098674774
432,39,422.39674496650696
433,34,392.230437040329
434,172,1165.8458428382874
435,95,791.4649391174316
436,69,784.8467509746552
437,36,317.1309871673584
438,33,371.6414451599121
439,73,805.5639081001282
440,63,860.2774059772491
441,2,9.07993197441101
442,93,739.7980380058289
443,35,334.29656505584717
444,23,236.80489897727966
445,67,611.7016069889069
446,69,749.6372699737549
447,59,456.09080696105957
448,72,732.4937410354614
449,49,514.0592999458313
450,31,312.81212306022644
451,72,592.9639790058136
452,85,933.9860951900482
453,78,927.5846109390259
454,37,343.6368079185486
455,91,424.7098801136017
456,25,256.65960812568665
457,52,652.7701768875122
458,35,347.6256420612335
459,26,259.5405011177063
460,57,551.8248159885406
461,82,816.8043859004974
462,17,189.784029006958
463,169,1096.604954957962
464,29,253.8753640651703
465,47,589.792622089386
466,4,33.19063711166382
467,28,268.8522708415985
468,19,193.64500188827515
469,76,1054.2294900417328
470,42,487.4136130809784
471,32,348.40241503715515
472,102,753.9091610908508
473,53,582.9574918746948
474,116,1049.24387216568
475,16,223.76297402381897
476,42,457.07803082466125
477,10,76.70903897285461
478,90,592.1189239025116
479,26,212.35919308662415
480,48,442.9587399959564
481,65,809.9277079105377
482,79,936.7815048694611
483,53,512.0897529125214
484,56,756.7468671798706
485,42,452.01517605781555
486,23,231.56499004364014
487,52,529.8880190849304
488,52,592.3920769691467
489,37,422.57264018058777
490,21,261.1993510723114
491,72,716.6709179878235
492,130,649.8550748825073
493,69,645.8458640575409
494,60,661.6914269924164
495,58,498.10008096694946
496,144,1014.8475871086121
497,59,650.9568319320679
498,29,313.87110590934753
499,50,654.8806428909302
500,55,631.9877998828888
501,58,547.4312469959259
502,13,114.97713589668274
503,101,883.973659992218
504,32,344.8145101070404
505,93,1371.3977870941162
506,119,623.2661008834839
507,65,808.8841731548309
508,43,550.013044834137
509,20,230.06993007659912
510,62,668.7098650932312
511,36,303.7536211013794
512,13,94.10238289833069
513,62,819.0324060916901
514,67,722.8738451004028
515,71,869.7566049098969
516,47,495.03975081443787
517,10,98.11270499229431
518,30,263.0635681152344
519,83,1080.3163990974426
520,60,439.192743062973
521,34,389.06716108322144
522,49,569.6658139228821
523,103,1211.2072370052338
524,118,958.3281950950623
525,70,989.3097438812256
526,52,544.8943910598755
527,37,375.1888949871063
528,57,727.8281259536743
529,48,390.24861693382263
530,2,18.458212852478027
531,26,237.4706790447235
532,21,230.0301549434662
533,18,148.5686399936676
534,34,307.7697048187256
535,28,301.5120921134949
536,26,244.87634301185608
537,71,982.1973841190338
538,48,597.2922871112823
539,42,454.1416668891907
540,91,813.6786909103394
541,27,281.00832891464233
542,103,886.2571411132812
543,27,300.15015292167664
544,40,444.8037769794464
545,64,508.0063018798828
546,19,224.96834897994995
547,2,11.278239011764526
548,31,329.62098383903503
549,31,328.7258360385895
550,107,830.4968919754028
551,62,533.9695618152618
552,97,606.648992061615
553,38,385.7562439441681
554,38,382.89186096191406
555,52,486.43403601646423
556,15,133.40594792366028
557,115,646.0639848709106
558,63,582.0565071105957
559,135,782.2695028781891
560,42,498.0515501499176
561,30,381.5752820968628
562,12,138.9122450351715
563,80,1008.0550138950348
564,22,226.15900897979736
565,74,775.0157680511475
566,60,530.0374641418457
567,43,410.66796112060547
568,50,740.237419128418
569,25,253.6752200126648
570,32,336.7406380176544
571,169,1035.0331721305847
572,96,1076.9955260753632
573,2,11.949207067489624
574,25,280.55224990844727
575,63,590.1225538253784
576,85,1168.3335518836975
577,56,653.6319160461426
578,143,861.4715089797974
579,71,579.8057270050049
580,52,393.8063099384308
581,50,813.9579668045044
582,43,423.3420481681824
583,46,512.3110570907593
584,16,143.37450313568115
585,164,1228.7859268188477
586,89,710.6574959754944
587,38,337.64872908592224
588,174,1041.1113929748535
589,149,1502.2322909832
590,20,276.6092300415039
591,31,325.14693093299866
592,23,221.2803180217743
593,101,716.859915971756
594,72,746.5243089199066
595,105,896.4095370769501
596,56,492.2562530040741
597,40,469.7990310192108
598,56,545.3503310680389
599,81,750.8611209392548
600,35,406.00542402267456
601,110,558.4672980308533
602,17,106.93783402442932
603,17,179.41173911094666
604,61,595.0340161323547
605,96,627.0965030193329
606,56,787.9890189170837
607,95,725.2665679454803
608,91,809.4215569496155
609,46,338.29891204833984
610,27,278.03400897979736
611,36,515.1926729679108
612,56,530.3113520145416
613,43,400.88348388671875
614,83,679.4417550563812
615,36,434.9503400325775
616,31,365.73357701301575
617,57,1036.4132158756256
618,34,396.202495098114
619,80,1390.7215549945831
620,140,1519.3688399791718
621,63,741.7334668636322
622,49,540.7201659679413
623,64,768.9705789089203
624,44,508.8657190799713
625,17,251.26806497573853
626,22,241.44228982925415
627,29,375.88090991973877
