GameId,NumberOfGame,OverAllTime
1,68,1007.3735580444336
2,91,935.105299949646
3,80,767.0375401973724
4,43,429.1314799785614
5,34,335.5426650047302
6,77,553.6466491222382
7,59,597.3354728221893
8,76,719.3092038631439
9,43,510.0831289291382
10,37,532.4948880672455
11,71,1175.26771402359
12,54,581.4990849494934
13,125,784.6865289211273
14,45,471.9658739566803
15,21,178.367999792099
16,31,227.37049102783203
17,55,594.186154127121
18,147,1188.5994808673859
19,88,553.0903220176697
20,62,717.5969681739807
21,137,1242.9079711437225
22,84,640.0463948249817
23,93,1005.8845000267029
24,83,829.0088050365448
25,109,549.0696189403534
26,91,877.755851984024
27,86,665.4503080844879
28,192,639.709508895874
29,68,804.5982360839844
30,18,183.98076391220093
31,72,782.5391759872437
32,43,552.0662150382996
33,53,719.7786710262299
34,11,105.68317103385925
35,39,347.36488699913025
36,50,492.2240469455719
37,148,797.5957140922546
38,36,379.17987298965454
39,62,591.773561000824
40,58,576.5808870792389
41,147,981.4482679367065
42,95,753.6419670581818
43,61,638.1870379447937
44,72,850.696387052536
45,100,664.1819670200348
46,28,304.9233980178833
47,82,858.7400269508362
48,56,508.4114410877228
49,26,238.8042049407959
50,69,953.2805829048157
51,36,318.83880496025085
52,52,505.19700384140015
53,20,137.10166311264038
54,121,835.1727631092072
55,147,996.7484791278839
56,129,773.9677770137787
57,15,127.0505919456482
58,73,914.9247379302979
59,40,354.5050549507141
60,56,596.4813129901886
61,164,963.1568470001221
62,31,322.6733732223511
63,33,318.4503970146179
64,120,699.8471579551697
65,113,960.7259678840637
66,65,532.1154708862305
67,52,500.0716218948364
68,86,681.4588000774384
69,33,318.6839680671692
70,130,969.1818017959595
71,62,551.9288520812988
72,137,804.9300079345703
73,100,1010.5692439079285
74,85,628.5698328018188
75,56,425.8407928943634
76,41,324.2785029411316
77,50,536.9136328697205
78,43,505.7296178340912
79,54,450.7697558403015
80,113,606.3086950778961
81,53,442.9093527793884
82,52,414.0695970058441
83,70,605.6063809394836
84,59,412.8134479522705
85,62,680.4086689949036
86,44,448.95416283607483
87,62,599.121789932251
88,27,269.11809277534485
89,50,490.47614908218384
90,102,904.4403040409088
91,65,467.08686900138855
92,85,748.4993538856506
93,46,435.5086598396301
94,73,834.6814458370209
95,45,488.19688391685486
96,54,439.093866109848
97,51,688.5660860538483
98,154,1400.6433839797974
99,107,705.9808838367462
100,68,756.1915330886841
101,96,950.3172850608826
102,130,1346.8714349269867
103,113,1887.3889820575714
104,76,768.757691860199
105,101,731.9787240028381
106,94,1008.9424390792847
107,79,911.5256021022797
108,105,1161.982144832611
109,180,728.3833999633789
110,115,1181.44411611557
111,57,578.8979830741882
112,51,530.8263280391693
113,75,546.1442329883575
114,110,1043.3731739521027
115,57,546.5581209659576
116,40,419.8385407924652
117,34,402.56843996047974
118,119,421.91574716567993
119,24,241.41067099571228
120,43,477.9353930950165
121,51,805.0942368507385
122,37,428.7390649318695
123,129,1083.0433349609375
124,73,546.5513181686401
125,123,1008.2412450313568
126,29,355.1326789855957
127,141,1129.6636970043182
128,30,366.9658989906311
129,89,928.4957408905029
130,40,391.8976318836212
131,79,833.9853730201721
132,74,822.6479339599609
133,156,942.0822651386261
134,109,928.9181320667267
135,56,624.9265849590302
136,77,714.410080909729
137,76,745.1264491081238
138,21,217.0309419631958
139,69,582.3680131435394
140,59,607.2825689315796
141,71,648.6862280368805
142,99,1218.8974928855896
143,73,698.3367431163788
144,62,670.7685470581055
145,62,587.3643889427185
146,39,410.303915977478
147,131,623.8105370998383
148,115,959.6370060443878
149,61,704.2828199863434
150,88,1030.9259359836578
151,52,708.6699850559235
152,35,270.84578490257263
153,64,435.1405110359192
154,47,476.2401008605957
155,60,722.1715381145477
156,100,717.0375318527222
157,81,762.2393848896027
158,69,689.2818610668182
159,29,330.5172951221466
160,155,920.290225982666
161,38,315.36646485328674
162,110,995.3017570972443
163,46,366.10908579826355
164,89,718.3551092147827
165,37,440.71518301963806
166,61,658.2782838344574
167,82,777.4738600254059
168,100,872.627180814743
169,106,1190.4781608581543
170,55,483.02129888534546
171,92,811.5839312076569
172,78,827.8813560009003
